image_path,alpha_path
data\train_processed\images\00000572.png,data\train_processed\alpha\00000572.png
data\train_processed\images\00000265.png,data\train_processed\alpha\00000265.png
data\train_processed\images\00000376.png,data\train_processed\alpha\00000376.png
data\train_processed\images\00001948.png,data\train_processed\alpha\00001948.png
data\train_processed\images\00001537.png,data\train_processed\alpha\00001537.png
data\train_processed\images\00000439.png,data\train_processed\alpha\00000439.png
data\train_processed\images\00000271.png,data\train_processed\alpha\00000271.png
data\train_processed\images\00000184.png,data\train_processed\alpha\00000184.png
data\train_processed\images\00000937.png,data\train_processed\alpha\00000937.png
data\train_processed\images\00000244.png,data\train_processed\alpha\00000244.png
data\train_processed\images\00000544.png,data\train_processed\alpha\00000544.png
data\train_processed\images\00000445.png,data\train_processed\alpha\00000445.png
data\train_processed\images\00001036.png,data\train_processed\alpha\00001036.png
data\train_processed\images\00001592.png,data\train_processed\alpha\00001592.png
data\train_processed\images\00000752.png,data\train_processed\alpha\00000752.png
data\train_processed\images\00000909.png,data\train_processed\alpha\00000909.png
data\train_processed\images\00001851.png,data\train_processed\alpha\00001851.png
data\train_processed\images\00000678.png,data\train_processed\alpha\00000678.png
data\train_processed\images\00000415.png,data\train_processed\alpha\00000415.png
data\train_processed\images\00000273.png,data\train_processed\alpha\00000273.png
data\train_processed\images\00001719.png,data\train_processed\alpha\00001719.png
data\train_processed\images\00001483.png,data\train_processed\alpha\00001483.png
data\train_processed\images\00001452.png,data\train_processed\alpha\00001452.png
data\train_processed\images\00000250.png,data\train_processed\alpha\00000250.png
data\train_processed\images\00000413.png,data\train_processed\alpha\00000413.png
data\train_processed\images\00000614.png,data\train_processed\alpha\00000614.png
data\train_processed\images\00001305.png,data\train_processed\alpha\00001305.png
data\train_processed\images\00000610.png,data\train_processed\alpha\00000610.png
data\train_processed\images\00000310.png,data\train_processed\alpha\00000310.png
data\train_processed\images\00001509.png,data\train_processed\alpha\00001509.png
data\train_processed\images\00000381.png,data\train_processed\alpha\00000381.png
data\train_processed\images\00001787.png,data\train_processed\alpha\00001787.png
data\train_processed\images\00000425.png,data\train_processed\alpha\00000425.png
data\train_processed\images\00000530.png,data\train_processed\alpha\00000530.png
data\train_processed\images\00001316.png,data\train_processed\alpha\00001316.png
data\train_processed\images\00001255.png,data\train_processed\alpha\00001255.png
data\train_processed\images\00001778.png,data\train_processed\alpha\00001778.png
data\train_processed\images\00000408.png,data\train_processed\alpha\00000408.png
data\train_processed\images\00001612.png,data\train_processed\alpha\00001612.png
data\train_processed\images\00000692.png,data\train_processed\alpha\00000692.png
data\train_processed\images\00001552.png,data\train_processed\alpha\00001552.png
data\train_processed\images\00000931.png,data\train_processed\alpha\00000931.png
data\train_processed\images\00001326.png,data\train_processed\alpha\00001326.png
data\train_processed\images\00001061.png,data\train_processed\alpha\00001061.png
data\train_processed\images\00001010.png,data\train_processed\alpha\00001010.png
data\train_processed\images\00001322.png,data\train_processed\alpha\00001322.png
data\train_processed\images\00000654.png,data\train_processed\alpha\00000654.png
data\train_processed\images\00000182.png,data\train_processed\alpha\00000182.png
data\train_processed\images\00001644.png,data\train_processed\alpha\00001644.png
data\train_processed\images\00001173.png,data\train_processed\alpha\00001173.png
data\train_processed\images\00000170.png,data\train_processed\alpha\00000170.png
data\train_processed\images\00000292.png,data\train_processed\alpha\00000292.png
data\train_processed\images\00001811.png,data\train_processed\alpha\00001811.png
data\train_processed\images\00000585.png,data\train_processed\alpha\00000585.png
data\train_processed\images\00000300.png,data\train_processed\alpha\00000300.png
data\train_processed\images\00001874.png,data\train_processed\alpha\00001874.png
data\train_processed\images\00001649.png,data\train_processed\alpha\00001649.png
data\train_processed\images\00001114.png,data\train_processed\alpha\00001114.png
data\train_processed\images\00000272.png,data\train_processed\alpha\00000272.png
data\train_processed\images\00001547.png,data\train_processed\alpha\00001547.png
data\train_processed\images\00000963.png,data\train_processed\alpha\00000963.png
data\train_processed\images\00000900.png,data\train_processed\alpha\00000900.png
data\train_processed\images\00000371.png,data\train_processed\alpha\00000371.png
data\train_processed\images\00001657.png,data\train_processed\alpha\00001657.png
data\train_processed\images\00001882.png,data\train_processed\alpha\00001882.png
data\train_processed\images\00000978.png,data\train_processed\alpha\00000978.png
data\train_processed\images\00001389.png,data\train_processed\alpha\00001389.png
data\train_processed\images\00000518.png,data\train_processed\alpha\00000518.png
data\train_processed\images\00000334.png,data\train_processed\alpha\00000334.png
data\train_processed\images\00000693.png,data\train_processed\alpha\00000693.png
data\train_processed\images\00001165.png,data\train_processed\alpha\00001165.png
data\train_processed\images\00001782.png,data\train_processed\alpha\00001782.png
data\train_processed\images\00000602.png,data\train_processed\alpha\00000602.png
data\train_processed\images\00000015.png,data\train_processed\alpha\00000015.png
data\train_processed\images\00001235.png,data\train_processed\alpha\00001235.png
data\train_processed\images\00001380.png,data\train_processed\alpha\00001380.png
data\train_processed\images\00001683.png,data\train_processed\alpha\00001683.png
data\train_processed\images\00001606.png,data\train_processed\alpha\00001606.png
data\train_processed\images\00000964.png,data\train_processed\alpha\00000964.png
data\train_processed\images\00000465.png,data\train_processed\alpha\00000465.png
data\train_processed\images\00000767.png,data\train_processed\alpha\00000767.png
data\train_processed\images\00000199.png,data\train_processed\alpha\00000199.png
data\train_processed\images\00001289.png,data\train_processed\alpha\00001289.png
data\train_processed\images\00001054.png,data\train_processed\alpha\00001054.png
data\train_processed\images\00001993.png,data\train_processed\alpha\00001993.png
data\train_processed\images\00001298.png,data\train_processed\alpha\00001298.png
data\train_processed\images\00001242.png,data\train_processed\alpha\00001242.png
data\train_processed\images\00001414.png,data\train_processed\alpha\00001414.png
data\train_processed\images\00001611.png,data\train_processed\alpha\00001611.png
data\train_processed\images\00001910.png,data\train_processed\alpha\00001910.png
data\train_processed\images\00001179.png,data\train_processed\alpha\00001179.png
data\train_processed\images\00001556.png,data\train_processed\alpha\00001556.png
data\train_processed\images\00000043.png,data\train_processed\alpha\00000043.png
data\train_processed\images\00000274.png,data\train_processed\alpha\00000274.png
data\train_processed\images\00001976.png,data\train_processed\alpha\00001976.png
data\train_processed\images\00000101.png,data\train_processed\alpha\00000101.png
data\train_processed\images\00001360.png,data\train_processed\alpha\00001360.png
data\train_processed\images\00000727.png,data\train_processed\alpha\00000727.png
data\train_processed\images\00001225.png,data\train_processed\alpha\00001225.png
data\train_processed\images\00000107.png,data\train_processed\alpha\00000107.png
data\train_processed\images\00001553.png,data\train_processed\alpha\00001553.png
data\train_processed\images\00000497.png,data\train_processed\alpha\00000497.png
data\train_processed\images\00001978.png,data\train_processed\alpha\00001978.png
data\train_processed\images\00000879.png,data\train_processed\alpha\00000879.png
data\train_processed\images\00001083.png,data\train_processed\alpha\00001083.png
data\train_processed\images\00000617.png,data\train_processed\alpha\00000617.png
data\train_processed\images\00001105.png,data\train_processed\alpha\00001105.png
data\train_processed\images\00001458.png,data\train_processed\alpha\00001458.png
data\train_processed\images\00000613.png,data\train_processed\alpha\00000613.png
data\train_processed\images\00000701.png,data\train_processed\alpha\00000701.png
data\train_processed\images\00000072.png,data\train_processed\alpha\00000072.png
data\train_processed\images\00001220.png,data\train_processed\alpha\00001220.png
data\train_processed\images\00001364.png,data\train_processed\alpha\00001364.png
data\train_processed\images\00001249.png,data\train_processed\alpha\00001249.png
data\train_processed\images\00001144.png,data\train_processed\alpha\00001144.png
data\train_processed\images\00000481.png,data\train_processed\alpha\00000481.png
data\train_processed\images\00001067.png,data\train_processed\alpha\00001067.png
data\train_processed\images\00000506.png,data\train_processed\alpha\00000506.png
data\train_processed\images\00001164.png,data\train_processed\alpha\00001164.png
data\train_processed\images\00000788.png,data\train_processed\alpha\00000788.png
data\train_processed\images\00001987.png,data\train_processed\alpha\00001987.png
data\train_processed\images\00001616.png,data\train_processed\alpha\00001616.png
data\train_processed\images\00001472.png,data\train_processed\alpha\00001472.png
data\train_processed\images\00001265.png,data\train_processed\alpha\00001265.png
data\train_processed\images\00000311.png,data\train_processed\alpha\00000311.png
data\train_processed\images\00001381.png,data\train_processed\alpha\00001381.png
data\train_processed\images\00000405.png,data\train_processed\alpha\00000405.png
data\train_processed\images\00001447.png,data\train_processed\alpha\00001447.png
data\train_processed\images\00001712.png,data\train_processed\alpha\00001712.png
data\train_processed\images\00000309.png,data\train_processed\alpha\00000309.png
data\train_processed\images\00000226.png,data\train_processed\alpha\00000226.png
data\train_processed\images\00001696.png,data\train_processed\alpha\00001696.png
data\train_processed\images\00001187.png,data\train_processed\alpha\00001187.png
data\train_processed\images\00001526.png,data\train_processed\alpha\00001526.png
data\train_processed\images\00001211.png,data\train_processed\alpha\00001211.png
data\train_processed\images\00001309.png,data\train_processed\alpha\00001309.png
data\train_processed\images\00000148.png,data\train_processed\alpha\00000148.png
data\train_processed\images\00001939.png,data\train_processed\alpha\00001939.png
data\train_processed\images\00000712.png,data\train_processed\alpha\00000712.png
data\train_processed\images\00000829.png,data\train_processed\alpha\00000829.png
data\train_processed\images\00000817.png,data\train_processed\alpha\00000817.png
data\train_processed\images\00000834.png,data\train_processed\alpha\00000834.png
data\train_processed\images\00000575.png,data\train_processed\alpha\00000575.png
data\train_processed\images\00000557.png,data\train_processed\alpha\00000557.png
data\train_processed\images\00000843.png,data\train_processed\alpha\00000843.png
data\train_processed\images\00001651.png,data\train_processed\alpha\00001651.png
data\train_processed\images\00001345.png,data\train_processed\alpha\00001345.png
data\train_processed\images\00001160.png,data\train_processed\alpha\00001160.png
data\train_processed\images\00001920.png,data\train_processed\alpha\00001920.png
data\train_processed\images\00000286.png,data\train_processed\alpha\00000286.png
data\train_processed\images\00001602.png,data\train_processed\alpha\00001602.png
data\train_processed\images\00000736.png,data\train_processed\alpha\00000736.png
data\train_processed\images\00000598.png,data\train_processed\alpha\00000598.png
data\train_processed\images\00000930.png,data\train_processed\alpha\00000930.png
data\train_processed\images\00000915.png,data\train_processed\alpha\00000915.png
data\train_processed\images\00001635.png,data\train_processed\alpha\00001635.png
data\train_processed\images\00001912.png,data\train_processed\alpha\00001912.png
data\train_processed\images\00001621.png,data\train_processed\alpha\00001621.png
data\train_processed\images\00001228.png,data\train_processed\alpha\00001228.png
data\train_processed\images\00001765.png,data\train_processed\alpha\00001765.png
data\train_processed\images\00001531.png,data\train_processed\alpha\00001531.png
data\train_processed\images\00001103.png,data\train_processed\alpha\00001103.png
data\train_processed\images\00001423.png,data\train_processed\alpha\00001423.png
data\train_processed\images\00000765.png,data\train_processed\alpha\00000765.png
data\train_processed\images\00000609.png,data\train_processed\alpha\00000609.png
data\train_processed\images\00001043.png,data\train_processed\alpha\00001043.png
data\train_processed\images\00001783.png,data\train_processed\alpha\00001783.png
data\train_processed\images\00001420.png,data\train_processed\alpha\00001420.png
data\train_processed\images\00001864.png,data\train_processed\alpha\00001864.png
data\train_processed\images\00000493.png,data\train_processed\alpha\00000493.png
data\train_processed\images\00001318.png,data\train_processed\alpha\00001318.png
data\train_processed\images\00000277.png,data\train_processed\alpha\00000277.png
data\train_processed\images\00001844.png,data\train_processed\alpha\00001844.png
data\train_processed\images\00000358.png,data\train_processed\alpha\00000358.png
data\train_processed\images\00001448.png,data\train_processed\alpha\00001448.png
data\train_processed\images\00000236.png,data\train_processed\alpha\00000236.png
data\train_processed\images\00000551.png,data\train_processed\alpha\00000551.png
data\train_processed\images\00001865.png,data\train_processed\alpha\00001865.png
data\train_processed\images\00001739.png,data\train_processed\alpha\00001739.png
data\train_processed\images\00000208.png,data\train_processed\alpha\00000208.png
data\train_processed\images\00001384.png,data\train_processed\alpha\00001384.png
data\train_processed\images\00001558.png,data\train_processed\alpha\00001558.png
data\train_processed\images\00000058.png,data\train_processed\alpha\00000058.png
data\train_processed\images\00000631.png,data\train_processed\alpha\00000631.png
data\train_processed\images\00001582.png,data\train_processed\alpha\00001582.png
data\train_processed\images\00001857.png,data\train_processed\alpha\00001857.png
data\train_processed\images\00001575.png,data\train_processed\alpha\00001575.png
data\train_processed\images\00000363.png,data\train_processed\alpha\00000363.png
data\train_processed\images\00000505.png,data\train_processed\alpha\00000505.png
data\train_processed\images\00001106.png,data\train_processed\alpha\00001106.png
data\train_processed\images\00001120.png,data\train_processed\alpha\00001120.png
data\train_processed\images\00001601.png,data\train_processed\alpha\00001601.png
data\train_processed\images\00001588.png,data\train_processed\alpha\00001588.png
data\train_processed\images\00001386.png,data\train_processed\alpha\00001386.png
data\train_processed\images\00001703.png,data\train_processed\alpha\00001703.png
data\train_processed\images\00000813.png,data\train_processed\alpha\00000813.png
data\train_processed\images\00000118.png,data\train_processed\alpha\00000118.png
data\train_processed\images\00001247.png,data\train_processed\alpha\00001247.png
data\train_processed\images\00000764.png,data\train_processed\alpha\00000764.png
data\train_processed\images\00000522.png,data\train_processed\alpha\00000522.png
data\train_processed\images\00000513.png,data\train_processed\alpha\00000513.png
data\train_processed\images\00000081.png,data\train_processed\alpha\00000081.png
data\train_processed\images\00001392.png,data\train_processed\alpha\00001392.png
data\train_processed\images\00001667.png,data\train_processed\alpha\00001667.png
data\train_processed\images\00000380.png,data\train_processed\alpha\00000380.png
data\train_processed\images\00001102.png,data\train_processed\alpha\00001102.png
data\train_processed\images\00001686.png,data\train_processed\alpha\00001686.png
data\train_processed\images\00000084.png,data\train_processed\alpha\00000084.png
data\train_processed\images\00001675.png,data\train_processed\alpha\00001675.png
data\train_processed\images\00000329.png,data\train_processed\alpha\00000329.png
data\train_processed\images\00000006.png,data\train_processed\alpha\00000006.png
data\train_processed\images\00000743.png,data\train_processed\alpha\00000743.png
data\train_processed\images\00000756.png,data\train_processed\alpha\00000756.png
data\train_processed\images\00001310.png,data\train_processed\alpha\00001310.png
data\train_processed\images\00001798.png,data\train_processed\alpha\00001798.png
data\train_processed\images\00000451.png,data\train_processed\alpha\00000451.png
data\train_processed\images\00000490.png,data\train_processed\alpha\00000490.png
data\train_processed\images\00001919.png,data\train_processed\alpha\00001919.png
data\train_processed\images\00000287.png,data\train_processed\alpha\00000287.png
data\train_processed\images\00001619.png,data\train_processed\alpha\00001619.png
data\train_processed\images\00001983.png,data\train_processed\alpha\00001983.png
data\train_processed\images\00001366.png,data\train_processed\alpha\00001366.png
data\train_processed\images\00001421.png,data\train_processed\alpha\00001421.png
data\train_processed\images\00001456.png,data\train_processed\alpha\00001456.png
data\train_processed\images\00001292.png,data\train_processed\alpha\00001292.png
data\train_processed\images\00001699.png,data\train_processed\alpha\00001699.png
data\train_processed\images\00001128.png,data\train_processed\alpha\00001128.png
data\train_processed\images\00001237.png,data\train_processed\alpha\00001237.png
data\train_processed\images\00001830.png,data\train_processed\alpha\00001830.png
data\train_processed\images\00001087.png,data\train_processed\alpha\00001087.png
data\train_processed\images\00001736.png,data\train_processed\alpha\00001736.png
data\train_processed\images\00000327.png,data\train_processed\alpha\00000327.png
data\train_processed\images\00000442.png,data\train_processed\alpha\00000442.png
data\train_processed\images\00000772.png,data\train_processed\alpha\00000772.png
data\train_processed\images\00001078.png,data\train_processed\alpha\00001078.png
data\train_processed\images\00000922.png,data\train_processed\alpha\00000922.png
data\train_processed\images\00001290.png,data\train_processed\alpha\00001290.png
data\train_processed\images\00000177.png,data\train_processed\alpha\00000177.png
data\train_processed\images\00001244.png,data\train_processed\alpha\00001244.png
data\train_processed\images\00001901.png,data\train_processed\alpha\00001901.png
data\train_processed\images\00000086.png,data\train_processed\alpha\00000086.png
data\train_processed\images\00001406.png,data\train_processed\alpha\00001406.png
data\train_processed\images\00001897.png,data\train_processed\alpha\00001897.png
data\train_processed\images\00000457.png,data\train_processed\alpha\00000457.png
data\train_processed\images\00001826.png,data\train_processed\alpha\00001826.png
data\train_processed\images\00000054.png,data\train_processed\alpha\00000054.png
data\train_processed\images\00001954.png,data\train_processed\alpha\00001954.png
data\train_processed\images\00000643.png,data\train_processed\alpha\00000643.png
data\train_processed\images\00000677.png,data\train_processed\alpha\00000677.png
data\train_processed\images\00000221.png,data\train_processed\alpha\00000221.png
data\train_processed\images\00000113.png,data\train_processed\alpha\00000113.png
data\train_processed\images\00001563.png,data\train_processed\alpha\00001563.png
data\train_processed\images\00001226.png,data\train_processed\alpha\00001226.png
data\train_processed\images\00001001.png,data\train_processed\alpha\00001001.png
data\train_processed\images\00000174.png,data\train_processed\alpha\00000174.png
data\train_processed\images\00001843.png,data\train_processed\alpha\00001843.png
data\train_processed\images\00000589.png,data\train_processed\alpha\00000589.png
data\train_processed\images\00001557.png,data\train_processed\alpha\00001557.png
data\train_processed\images\00000018.png,data\train_processed\alpha\00000018.png
data\train_processed\images\00000423.png,data\train_processed\alpha\00000423.png
data\train_processed\images\00001341.png,data\train_processed\alpha\00001341.png
data\train_processed\images\00000285.png,data\train_processed\alpha\00000285.png
data\train_processed\images\00001581.png,data\train_processed\alpha\00001581.png
data\train_processed\images\00000428.png,data\train_processed\alpha\00000428.png
data\train_processed\images\00001507.png,data\train_processed\alpha\00001507.png
data\train_processed\images\00000903.png,data\train_processed\alpha\00000903.png
data\train_processed\images\00000669.png,data\train_processed\alpha\00000669.png
data\train_processed\images\00000031.png,data\train_processed\alpha\00000031.png
data\train_processed\images\00000938.png,data\train_processed\alpha\00000938.png
data\train_processed\images\00000722.png,data\train_processed\alpha\00000722.png
data\train_processed\images\00001944.png,data\train_processed\alpha\00001944.png
data\train_processed\images\00000214.png,data\train_processed\alpha\00000214.png
data\train_processed\images\00001080.png,data\train_processed\alpha\00001080.png
data\train_processed\images\00000326.png,data\train_processed\alpha\00000326.png
data\train_processed\images\00000560.png,data\train_processed\alpha\00000560.png
data\train_processed\images\00001111.png,data\train_processed\alpha\00001111.png
data\train_processed\images\00000700.png,data\train_processed\alpha\00000700.png
data\train_processed\images\00001037.png,data\train_processed\alpha\00001037.png
data\train_processed\images\00001299.png,data\train_processed\alpha\00001299.png
data\train_processed\images\00000341.png,data\train_processed\alpha\00000341.png
data\train_processed\images\00000629.png,data\train_processed\alpha\00000629.png
data\train_processed\images\00000147.png,data\train_processed\alpha\00000147.png
data\train_processed\images\00001196.png,data\train_processed\alpha\00001196.png
data\train_processed\images\00000360.png,data\train_processed\alpha\00000360.png
data\train_processed\images\00000083.png,data\train_processed\alpha\00000083.png
data\train_processed\images\00000048.png,data\train_processed\alpha\00000048.png
data\train_processed\images\00000468.png,data\train_processed\alpha\00000468.png
data\train_processed\images\00000155.png,data\train_processed\alpha\00000155.png
data\train_processed\images\00001161.png,data\train_processed\alpha\00001161.png
data\train_processed\images\00001330.png,data\train_processed\alpha\00001330.png
data\train_processed\images\00001541.png,data\train_processed\alpha\00001541.png
data\train_processed\images\00001769.png,data\train_processed\alpha\00001769.png
data\train_processed\images\00001232.png,data\train_processed\alpha\00001232.png
data\train_processed\images\00001628.png,data\train_processed\alpha\00001628.png
data\train_processed\images\00000500.png,data\train_processed\alpha\00000500.png
data\train_processed\images\00001829.png,data\train_processed\alpha\00001829.png
data\train_processed\images\00000179.png,data\train_processed\alpha\00000179.png
data\train_processed\images\00001185.png,data\train_processed\alpha\00001185.png
data\train_processed\images\00001753.png,data\train_processed\alpha\00001753.png
data\train_processed\images\00000782.png,data\train_processed\alpha\00000782.png
data\train_processed\images\00000874.png,data\train_processed\alpha\00000874.png
data\train_processed\images\00001617.png,data\train_processed\alpha\00001617.png
data\train_processed\images\00000528.png,data\train_processed\alpha\00000528.png
data\train_processed\images\00000346.png,data\train_processed\alpha\00000346.png
data\train_processed\images\00001385.png,data\train_processed\alpha\00001385.png
data\train_processed\images\00001958.png,data\train_processed\alpha\00001958.png
data\train_processed\images\00000809.png,data\train_processed\alpha\00000809.png
data\train_processed\images\00001970.png,data\train_processed\alpha\00001970.png
data\train_processed\images\00001009.png,data\train_processed\alpha\00001009.png
data\train_processed\images\00000601.png,data\train_processed\alpha\00000601.png
data\train_processed\images\00001336.png,data\train_processed\alpha\00001336.png
data\train_processed\images\00000243.png,data\train_processed\alpha\00000243.png
data\train_processed\images\00000888.png,data\train_processed\alpha\00000888.png
data\train_processed\images\00001401.png,data\train_processed\alpha\00001401.png
data\train_processed\images\00001473.png,data\train_processed\alpha\00001473.png
data\train_processed\images\00000312.png,data\train_processed\alpha\00000312.png
data\train_processed\images\00000435.png,data\train_processed\alpha\00000435.png
data\train_processed\images\00001896.png,data\train_processed\alpha\00001896.png
data\train_processed\images\00000932.png,data\train_processed\alpha\00000932.png
data\train_processed\images\00000308.png,data\train_processed\alpha\00000308.png
data\train_processed\images\00000430.png,data\train_processed\alpha\00000430.png
data\train_processed\images\00000660.png,data\train_processed\alpha\00000660.png
data\train_processed\images\00000370.png,data\train_processed\alpha\00000370.png
data\train_processed\images\00000566.png,data\train_processed\alpha\00000566.png
data\train_processed\images\00001368.png,data\train_processed\alpha\00001368.png
data\train_processed\images\00000181.png,data\train_processed\alpha\00000181.png
data\train_processed\images\00001334.png,data\train_processed\alpha\00001334.png
data\train_processed\images\00000621.png,data\train_processed\alpha\00000621.png
data\train_processed\images\00000940.png,data\train_processed\alpha\00000940.png
data\train_processed\images\00001627.png,data\train_processed\alpha\00001627.png
data\train_processed\images\00000950.png,data\train_processed\alpha\00000950.png
data\train_processed\images\00001419.png,data\train_processed\alpha\00001419.png
data\train_processed\images\00001838.png,data\train_processed\alpha\00001838.png
data\train_processed\images\00001536.png,data\train_processed\alpha\00001536.png
data\train_processed\images\00001587.png,data\train_processed\alpha\00001587.png
data\train_processed\images\00000296.png,data\train_processed\alpha\00000296.png
data\train_processed\images\00001110.png,data\train_processed\alpha\00001110.png
data\train_processed\images\00000461.png,data\train_processed\alpha\00000461.png
data\train_processed\images\00001519.png,data\train_processed\alpha\00001519.png
data\train_processed\images\00001175.png,data\train_processed\alpha\00001175.png
data\train_processed\images\00000377.png,data\train_processed\alpha\00000377.png
data\train_processed\images\00000798.png,data\train_processed\alpha\00000798.png
data\train_processed\images\00001178.png,data\train_processed\alpha\00001178.png
data\train_processed\images\00000105.png,data\train_processed\alpha\00000105.png
data\train_processed\images\00000126.png,data\train_processed\alpha\00000126.png
data\train_processed\images\00001131.png,data\train_processed\alpha\00001131.png
data\train_processed\images\00000836.png,data\train_processed\alpha\00000836.png
data\train_processed\images\00000355.png,data\train_processed\alpha\00000355.png
data\train_processed\images\00001614.png,data\train_processed\alpha\00001614.png
data\train_processed\images\00000682.png,data\train_processed\alpha\00000682.png
data\train_processed\images\00000916.png,data\train_processed\alpha\00000916.png
data\train_processed\images\00000869.png,data\train_processed\alpha\00000869.png
data\train_processed\images\00000209.png,data\train_processed\alpha\00000209.png
data\train_processed\images\00000881.png,data\train_processed\alpha\00000881.png
data\train_processed\images\00000140.png,data\train_processed\alpha\00000140.png
data\train_processed\images\00001435.png,data\train_processed\alpha\00001435.png
data\train_processed\images\00001964.png,data\train_processed\alpha\00001964.png
data\train_processed\images\00001058.png,data\train_processed\alpha\00001058.png
data\train_processed\images\00001572.png,data\train_processed\alpha\00001572.png
data\train_processed\images\00001094.png,data\train_processed\alpha\00001094.png
data\train_processed\images\00001561.png,data\train_processed\alpha\00001561.png
data\train_processed\images\00000889.png,data\train_processed\alpha\00000889.png
data\train_processed\images\00000711.png,data\train_processed\alpha\00000711.png
data\train_processed\images\00001807.png,data\train_processed\alpha\00001807.png
data\train_processed\images\00000862.png,data\train_processed\alpha\00000862.png
data\train_processed\images\00000857.png,data\train_processed\alpha\00000857.png
data\train_processed\images\00000010.png,data\train_processed\alpha\00000010.png
data\train_processed\images\00001692.png,data\train_processed\alpha\00001692.png
data\train_processed\images\00001797.png,data\train_processed\alpha\00001797.png
data\train_processed\images\00000282.png,data\train_processed\alpha\00000282.png
data\train_processed\images\00000810.png,data\train_processed\alpha\00000810.png
data\train_processed\images\00001091.png,data\train_processed\alpha\00001091.png
data\train_processed\images\00000291.png,data\train_processed\alpha\00000291.png
data\train_processed\images\00000754.png,data\train_processed\alpha\00000754.png
data\train_processed\images\00000626.png,data\train_processed\alpha\00000626.png
data\train_processed\images\00000941.png,data\train_processed\alpha\00000941.png
data\train_processed\images\00000859.png,data\train_processed\alpha\00000859.png
data\train_processed\images\00000129.png,data\train_processed\alpha\00000129.png
